GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis,org.apache.ibatis.cache.decorators,SerializedCache.CustomObjectInputStream,0,8,0,0,0,3,0,2,0,2
mybatis,org.apache.ibatis.cache.decorators,LoggingCache,27,74,1,3,3,21,3,10,2,9
mybatis,org.apache.ibatis.cache.decorators,WeakCache.WeakEntry,0,8,0,0,0,3,0,1,0,1
mybatis,org.apache.ibatis.cache.decorators,SerializedCache,47,95,1,5,7,26,3,12,2,10
mybatis,org.apache.ibatis.cache.decorators,SoftCache,26,117,1,7,5,33,4,10,3,7
mybatis,org.apache.ibatis.cache.decorators,BlockingCache,74,81,4,6,15,25,9,9,6,7
mybatis,org.apache.ibatis.cache.decorators,SoftCache.SoftEntry,0,8,0,0,0,3,0,1,0,1
mybatis,org.apache.ibatis.cache.decorators,LruCache.new LinkedHashMap() {...},0,31,0,4,0,5,0,4,0,2
mybatis,org.apache.ibatis.cache.decorators,WeakCache,16,102,1,7,5,29,4,10,3,7
mybatis,org.apache.ibatis.cache.decorators,TransactionalCache,19,146,0,14,5,44,3,18,3,11
mybatis,org.apache.ibatis.cache.decorators,FifoCache,6,68,0,2,2,21,2,9,2,8
mybatis,org.apache.ibatis.cache.decorators,LruCache,2,78,0,2,1,22,1,10,1,9
mybatis,org.apache.ibatis.cache.decorators,ScheduledCache,4,82,1,3,1,25,2,12,1,11
mybatis,org.apache.ibatis.cache.decorators,SynchronizedCache,2,43,0,0,1,13,1,9,1,9
mybatis,org.apache.ibatis.datasource,DataSourceException,0,16,0,0,0,8,0,4,0,4
mybatis,org.apache.ibatis.executor.statement,StatementUtil,3,27,0,10,2,10,1,6,1,1
mybatis,org.apache.ibatis.executor.statement,CallableStatementHandler,66,135,8,10,11,31,8,9,2,6
mybatis,org.apache.ibatis.executor.statement,RoutingStatementHandler,17,81,1,3,2,18,2,10,1,8
mybatis,org.apache.ibatis.executor.statement,PreparedStatementHandler,0,112,0,6,0,29,0,10,0,7
mybatis,org.apache.ibatis.executor.statement,RoutingStatementHandler.new Object() {...},3,23,0,0,0,1,0,1,0,1
mybatis,org.apache.ibatis.executor.statement,BaseStatementHandler,33,153,2,12,12,43,3,12,2,6
mybatis,org.apache.ibatis.executor.statement,SimpleStatementHandler,54,65,3,3,10,19,4,6,1,6
mybatis,org.apache.ibatis.mapping,MappedStatement,20,125,3,11,5,36,4,30,2,25
mybatis,org.apache.ibatis.mapping,DefaultDatabaseIdProvider,3,0,0,0,1,0,1,0,1,0
mybatis,org.apache.ibatis.mapping,ParameterMap,0,12,0,0,0,5,0,4,0,4
mybatis,org.apache.ibatis.mapping,ResultFlag,9,29,0,0,0,2,2,2,2,2
mybatis,org.apache.ibatis.mapping,ParameterMap.Builder,4,35,0,0,1,8,1,2,1,2
