GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis,org.apache.ibatis.cache.decorators,LoggingCache,25,68,1,3,2,19,2,10,1,9
mybatis,org.apache.ibatis.cache.decorators,SoftCache,14,125,1,9,4,34,3,11,2,7
mybatis,org.apache.ibatis.cache.decorators,BlockingCache,62,84,4,6,12,30,6,10,3,8
mybatis,org.apache.ibatis.cache.decorators,SoftCache.SoftEntry,0,8,0,0,0,3,0,1,0,1
mybatis,org.apache.ibatis.cache.decorators,LruCache.new LinkedHashMap() {...},0,31,0,4,0,5,0,4,0,2
mybatis,org.apache.ibatis.cache.decorators,WeakCache,16,124,2,8,4,34,4,10,2,7
mybatis,org.apache.ibatis.cache.decorators,TransactionalCache,17,146,0,14,4,44,2,18,2,11
mybatis,org.apache.ibatis.cache.decorators,FifoCache,4,68,0,2,1,21,1,9,1,8
mybatis,org.apache.ibatis.cache.decorators,LruCache,0,78,0,2,0,22,0,10,0,9
mybatis,org.apache.ibatis.cache.decorators,ScheduledCache,2,84,1,3,0,25,1,12,0,11
mybatis,org.apache.ibatis.cache.decorators,SerializedCache.CustomObjectInputStream,0,8,0,0,0,3,0,2,0,2
mybatis,org.apache.ibatis.cache.decorators,WeakCache.WeakEntry,0,8,0,0,0,3,0,1,0,1
mybatis,org.apache.ibatis.cache.decorators,SerializedCache,33,104,0,6,5,26,1,13,1,10
mybatis,org.apache.ibatis.cache.decorators,SynchronizedCache,0,43,0,0,0,13,0,9,0,9
mybatis,org.apache.ibatis.datasource,DataSourceException,0,16,0,0,0,8,0,4,0,4
mybatis,org.apache.ibatis.executor.statement,StatementUtil,0,18,0,8,0,5,0,5,0,1
mybatis,org.apache.ibatis.executor.statement,CallableStatementHandler,66,136,8,10,14,31,8,9,2,6
mybatis,org.apache.ibatis.executor.statement,RoutingStatementHandler,17,81,1,3,2,18,2,10,1,8
mybatis,org.apache.ibatis.executor.statement,BaseStatementHandler,23,163,1,13,6,49,2,13,1,7
mybatis,org.apache.ibatis.executor.statement,SimpleStatementHandler,46,74,2,4,9,20,3,7,1,6
mybatis,org.apache.ibatis.executor.statement,PreparedStatementHandler,0,113,0,6,0,29,0,10,0,7
mybatis,org.apache.ibatis.mapping,DefaultDatabaseIdProvider,3,0,0,0,1,0,1,0,1,0
mybatis,org.apache.ibatis.mapping,ParameterMapping,3,106,0,0,1,22,1,10,1,10
mybatis,org.apache.ibatis.mapping,BoundSql,3,54,0,0,1,15,1,7,1,7
mybatis,org.apache.ibatis.mapping,VendorDatabaseIdProvider,14,56,2,6,5,15,2,7,0,5
mybatis,org.apache.ibatis.mapping,ResultMap,3,37,0,0,1,13,1,12,1,12
